absolutely essential,essential
absolutely necessary,necessary
actual facts,facts
add an additional,add
add up,add
added bonus,bonus
advance forward,advance
advance planning,planning
advance reservations,reservations
advance warning,warning
aid and abet,aid,abet
AIDS syndrome,AIDS
all of,all
all things considered,*delete*
all throughout,throughout
all-time record,record
alternative choice,choice
annual anniversary,anniversary
anonymous stranger,stranger
absolutely necessary,necessary
armed gunman,gunman
artificial prosthesis,prosthesis
as a matter of fact,*delete*
as far as I’m concerned,*delete*
as yet,yet
ascend up,ascend
ask a question,ask
assemble together,assemble
ATM machine,ATM
attach together,attach
bald-headed,bald
balsa wood,balsa
basic essentials,essentials
basic fundamentals,fundamentals
basic necessities,necessities
because of the fact that,because
best ever,best
biography of a person’s life,biography
blend together,blend
blue/gold/red in color,blue/gold/red
both of them,both
brand new,new
brief in duration,brief
brief moment,moment
brief summary,summary
burning embers,embers
but nevertheless,but,nevertheless
cacophony of sound,cacophony
cancel out,cancel
careful scrutiny,scrutiny
cash money,cash,money
cease and desist,cease,desist
cacophony of sound,cacophony
CEO officer,CEO
circle around,circle
circulate around,circulate
classify into groups,classify
climb up,climb
close proximity,close
closed fist,fist
CMS system,CMS
collaborate together,collaborate
combine together,combine
commute back and forth,commute
compete with each other,compete
completely annihilate,annihilate
completely destroy,destroy
completely eliminated,eliminated
completely engulfed,engulfed
completely finished,finished
completely full,full
completely surrounded,surrounded
completely unanimous,unanimous
component parts,parts,components
confer together,confer
connect together,connect
connect up,connect
consensus of opinion,consensus
constantly maintained,maintained
cooperate together,cooperate
could possibly,could
CPU unit,CPU
crack of dawn,dawn
crisis situation,crisis
cross the arms over the chest,cross the arms
crystal-clear,clear
current trend,trend
depreciate in value,depreciate
descend down,descend
desirable benefit,benefit
difficult dilemma,dilemma
disappear from sight,disappear
dog-eat-dog fierce,fierce,dog-eat-dog
drop down,drop
during the course of,during
dwindle down,dwindle
each and every,each,every
earlier in time,earlier
echo back,echo
eliminate altogether,eliminate
eliminate entirely,eliminate
emergency situation,emergency
empty hole,hole
empty out,empty
empty space,space
enclosed herewith,enclosed
enclosed herein,enclosed
end result,result
enter into,enter
entirely eliminate,eliminate
equal to one another,equal
eradicate completely,eradicate
estimated at about,estimated at
every single person,every person
evolve over time,evolve
exact same,same
exactly the same,the same
extradite back,extradite
face mask,mask
face up to the facts,face the facts,face facts
fall down,fall
false pretense,pretense
favorable approval,approval
fellow classmate,classmate
fellow colleague,colleague
few in number,few
filled to capacity,filled
final completion,competition
final end,end
final outcome,outcome
final ultimatum,ultimatum
first and foremost,foremost
first conceived,conceived
first of all,first
five in number,five
fly through the air,fly
focus in on,focus on
follow after,follow
foreign imports,imports
for all intents and purposes,*delete*
for the most part,*delete*,mostly
forever and ever,forever
former graduate,graduate
former veteran,veteran
free gift,gift
from whence,whence
frozen ice,ice
frozen tundra,tundra
full satisfaction,satisfaction
full to capacity,full
fuse together,fuse
future plans,plans
future recurrence,recurrence
gather together,gather
general public,public
give a gasp,gasp
give a nod,nod
give a shrug,shrug
give a sigh,sigh
give a smile,smile
go and get,get
GOP party,GOP
GRE exam,GRE
grow in size,grow
harmful injuries,injuries
has got,has
have got,have
head honcho,honcho
heat up,heat
hidden ambush,ambush
HIV virus,HIV
hoist up,hoist
hollow tube,tube
honestly,*delete*
hopeful optimism,optimism
hot water heater,water heater
hot-dog show-off,hot_dog,show-off
HPV virus,HPV
hurry up,hurry
illustrated drawing,drawing,illustration
in a manner of speaking,*delete*
in a very real sense,*delete*
in close proximity,close,in proximity
in my opinion,*delete*
in the final analysis,*delete*
in the process of,*delete*
incredible to believe,incredible
I saw it with my own eyes,I saw it
integrate together,integrate
integrate with each other,integrate
interdependent on each other,interdependent
introduced for the first time,introduced
ISBN number,ISBN
literally impossible,impossible
join together,join
joint collaboration,collaboration
kneel down,kneel
know that,know
knowledgeable experts,experts
lag behind,lag
large in size,large
largest ever,largest
later time,later
LCD display,LCD
lift up,lifted
live witness,witness
longer in length,longer
look ahead to the future,look ahead
look back in retrospect,look back, in retrospect
made out of,made of
major breakthrough,breakthrough
major feat,feat
manually by hand,manually
may possibly,may
might possibly,might
meet together,meet
meet with each other,meet
mental telepathy,telepathy
merge together,merge
apart from one another,apart
mix together,mix
MLB baseball,MLB
more perfect,perfect
most of the people,most people
most unique,unique
moving experience,moving
mutual cooperation,cooperation
mutual respect for each other,mutual respect
nape of the neck,nape
native habitat,habitat
natural instinct,instinct
never before,never
new innovation,innovation
new invention,invention
new recruit,recruit
NFL league,NFL
nod the head,nod
none at all,none
nostalgia for the past,nostalgia
now pending,pending
number one leader,leader
off of,off
open trench,trench
open up,open
oral conversation,conversation
originally created,created
outside in the yard,in the yard
outside of,outside
oval in shape,oval
over exaggerate,exaggerate
over with,over
overused cliché,cliché
pair of twins,twins
palm of the hand,palm
passing fad,fad
past experience,experience
past history,history
past memories,memories
past records,records
penetrate into,penetrate
period of four days,four days
personal friend,friend
personal opinion,opinion
PIN number,PIN
pizza pie,pizza
plan ahead,plan
plan in advance,plan
please RSVP,RSVP
plunge down,plunge
positive identification,identification
postpone until later,postpone
pouring down rain,pouring rain
present incumbent,incumbent
present time,present
previously listed above,previously listed
proceed ahead,proceed
protest against,protest
protruded out,protruded
puppy dog,puppy,dog
pursue after,pursue
puzzling in nature,puzzling
raise up,raise
RAM memory,RAM
reason why,reason
rectangular in shape,rectangular
recur again,recur
re-elect for another term,re-elect
refer back,refer
reflect back,reflect
regular routine,routine
repeat again,repeat
reply back,reply
retreat back,retreat
return again,return
revert back,revert
ripe old age,old age
rise up,rise
round in shape,round
safe haven,haven
safe sanctuary,sanctuary
same exact,same
same identical,same,identical
scream loudly,scream
scrutinize in detail,scrutinize
separated apart,separated
serious danger,danger
share together,share
sharp point,point
down on the floor,on the floor
shiny in appearance,shiny
shorter in length,shorter
shrug the shoulders,shrug
sigh of relief,sigh
since the time that,since
single unit,unit
sit down,sit
skipped over,skipped
slow speed,slow
small in size,small
small speck,speck
sneaking suspicion,suspicion
soft to the touch,soft
sole of the foot,sole
spell out in detail,spell out
spliced together,spliced
square in shape,square
stand up,stand
start off,start
start out,start
still persists,persists
still remains,remains
sudden impulse,impulse
suddenly exploded,exploded
sum total,total,sum
summarize briefly,summarize
surrounded on all sides,surrounded
surrounding circumstances,circumstances
take a look at,look at
take a taste,taste
tall in height,tall
tall in stature,tall
tell a lie,lie
temper tantrum,tantrum
the future to come,the future
the point is that,*delete*
the reason why,the reason
therapeutic treatment,treatment
there are many who think,many think
there is a man who,a man
three triplets,triplets
three-way love triangle,love triangle
tilt the head sideways,tilt the head
tiny bit,bit
tiny speck,speck
to coin a phrase,*delete*
to make a long story short,*delete*
to tell the truth,*delete*
total destruction,destruction
totally free,free
true facts,facts
truly sincere,sincere
tuna fish,tuna
two equal halves,halves
two twins,twins
undergraduate student,undergraduate
underground subway,subway
unexpected emergency,emergency
unexpected surprise,surprise
unintentional mistake,mistake
universal panacea,panacea
until such time as,until
UPC code,UPC
usual custom,custom
vacillate back and forth,vacillate
visible to the eye,visible
wake up,wake
wall mural,mural
warn in advance,warn
weather conditions,weather
weather situation,weather
what I mean to say is,*delete*
when I think about it,*delete*
whether or not,whether
whirl around,whirl
whisper softly,whisper
white snow,snow
write down,write
yell loudly,yell